OriginSite,OriginBlock,Start Block korrigert,originPlotID,TTtreat,destinationPlotID,turfID,RTtreat ,GRtreat,RT treat,Old treat (label),subPlot,year,date,Measure,recorder,Ach mil,Aco sep,Agr cap,Agr mer,Alc alp,Alc sp,Ant alp,Ant dio,Ant odo,Ast alp,Ave fle,Bet nan,Bet pub,Bis viv,Cal vul,Cam rot,Car big,Car cap,Car nor,Car pal,Car pau,Car pil,Car sp,Car vag,Cer alp,Cer fon,Des ces,Emp,Emp her,Epi ana,Euph fri,Fes ovi,Fes rub,Fes viv,Gen ama,Gen niv,Gen ten,Ger syl,Geu riv,Hie alp,Hie pil,Hir vul,Jun com,Kob sim,Luz sp,Luz spi,Leo aut,Lot cor,Luz mul,Myos,Nar stri,Oma sup,Par pal,Phl alp,Phle alp,Pin vul,Poa alp,Poa pra,Poa sp,Pot cra,Pot ere,Pru vul,Pyr min,Rum ac-la,Ran acr,Rhi min,Rum ace,Sag sp,Sal her,Salix sp,Saus alp,Sax aiz,Sel sel,Sib pro,Sil aca,Sol vir,Tarax,Tha alp,Tof pus,Tri ces,Tri rep,Vac myr,Vac uli,Vac vit,Ver alp,Ver fru,Ver ser,Vio bif,Vio pal,Vio riv,Nid seedling,Nid gram,pleuro,acro,liver,lichen,litter,soil,rock,totalVascular,totalBryophytes,totalLichen,vegetationHeight,mossHeight,comment
Gudmedalen,11,IV/X,505,TTC,505,505 TTC,,,RTC,RTC,11,2009,13-Aug,Presence,KK,1,,,,,,,1,,,,,,,,1,,1,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,1,,,1,,,,,,,,,,,,,,,0,0,0,0,20,0,0,,,,,,
Gudmedalen,11,IV/X,505,TTC,505,505 TTC,,,RTC,RTC,12,2009,13-Aug,Presence,KK,,,,,,,,F,1,1,,,,1,,1,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,0,0,0,0,10,0,0,,,,,,
Gudmedalen,11,IV/X,505,TTC,505,505 TTC,,,RTC,RTC,13,2009,13-Aug,Presence,KK,,,,,,,,1,,,,,,,,F,,1,,,,,,1,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,0,0,0,0,20,0,0,,,,,,
Gudmedalen,11,IV/X,505,TTC,505,505 TTC,,,RTC,RTC,14,2009,13-Aug,Presence,KK,,,1,,,,,,,1,,,,,,F,,1,,,,,,1,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,10,20,0,0,5,0,0,,,,,,
Gudmedalen,11,IV/X,505,TTC,505,505 TTC,,,RTC,RTC,15,2009,13-Aug,Presence,KK,,,,,,,,1,,1,,,,1,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,0,20,0,0,5,0,20,,,,,,
Gudmedalen,11,IV/X,505,TTC,505,505 TTC,,,RTC,RTC,16,2009,13-Aug,Presence,KK,,,,,,,,1,,1,,,,1,,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,0,0,0,0,20,0,0,,,,,,
Gudmedalen,11,IV/X,505,TTC,505,505 TTC,,,RTC,RTC,17,2009,13-Aug,Presence,KK,,,,,,,,1,,1,,,,1,,F,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,0,0,0,0,10,0,0,,,,,,
Gudmedalen,11,IV/X,505,TTC,505,505 TTC,,,RTC,RTC,18,2009,13-Aug,Presence,KK,,,1,,,,,1,,,,,,1,,1,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,0,0,0,0,20,0,0,,,,,,
Gudmedalen,11,IV/X,505,TTC,505,505 TTC,,,RTC,RTC,19,2009,13-Aug,Presence,KK,,,,,,,,1,,1,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,DF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,20,0,0,5,0,0,,,,,,
Gudmedalen,11,IV/X,505,TTC,505,505 TTC,,,RTC,RTC,20,2009,13-Aug,Presence,KK,,,,,,,,1,,1,,,,1,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,5,0,0,5,0,0,,,,,,
Gudmedalen,11,IV/X,505,TTC,505,505 TTC,,,RTC,RTC,21,2009,13-Aug,Presence,KK,,,,,,,,,,1,,,,1,,F,,1,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,0,0,0,0,20,0,0,,,,,,
Gudmedalen,11,IV/X,505,TTC,505,505 TTC,,,RTC,RTC,22,2009,13-Aug,Presence,KK,,,,,,,,1,1,1,,,,1,,1,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,0,0,0,0,20,0,0,,,,2,1,
Gudmedalen,11,IV/X,505,TTC,505,505 TTC,,,RTC,RTC,23,2009,13-Aug,Presence,KK,1,,,,,,,,,1,,,,,,1,,1,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,0,0,0,0,10,0,0,,,,2,0.5,
Gudmedalen,11,IV/X,505,TTC,505,505 TTC,,,RTC,RTC,24,2009,13-Aug,Presence,KK,1,,,,,,,,,1,,,,,,,,1,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,1,,,,F,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,1,,,,,,0,0,0,0,10,0,0,,,,5,0.5,
Gudmedalen,11,IV/X,505,TTC,505,505 TTC,,,RTC,RTC,25,2009,13-Aug,Presence,KK,,,,,,,,1,,1,,,,1,,1,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,1,,,,,,,,0,0,5,0,10,0,0,,,,3,0.5,
Gudmedalen,11,IV/X,505,TTC,505,505 TTC,,,RTC,RTC,%,2009,13-Aug,Cover,KK,5,,2,,,,,4,1,15,,,,5,,8,,6,,,,,,10,,,10,,3,,,2,2,,,,,,,,,,,,,,4,,,,12,,4,,,,,,,,1,,,,2,1,,,,,,,4,,3,,,5,,,,,,,2,,1,,,,1,,1.56,4.08,0.28,0,12.8,0,0.8,80,5,0,3,0.625,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gudmedalen,4,IV/X,1920,,1920,Gud4RTC,RTC,,RTC,RTC,1,2009,13-Aug,Presence,KK,,,,,,,,1,,,,,,1,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,F,,,,,,,1,,1,,,1,,,,,,,1,,,,,,1,,2,0,0,0,10,0,0,,,,,,
Gudmedalen,4,IV/X,1920,,1920,Gud4RTC,RTC,,RTC,RTC,2,2009,13-Aug,Presence,KK,,,,,,,,1,,,,,,1,,1,,,,,,,,1,,,1,,1,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,5,0,0,0,20,0,0,,,,,,
Gudmedalen,4,IV/X,1920,,1920,Gud4RTC,RTC,,RTC,RTC,3,2009,13-Aug,Presence,KK,,,,,,,,,,,,,,1,,1,,F,,,,,,,,,D,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,0,1,0,0,10,0,0,,,,,,
Gudmedalen,4,IV/X,1920,,1920,Gud4RTC,RTC,,RTC,RTC,4,2009,13-Aug,Presence,KK,,,1,,,,,,,,,,,,,,,F,,,,,,,,,1,,,,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,0,1,0,0,5,0,0,,,,,,
Gudmedalen,4,IV/X,1920,,1920,Gud4RTC,RTC,,RTC,RTC,5,2009,13-Aug,Presence,KK,,,,,,,,,,1,,,,1,,1,,F,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,10,0,2,0,5,0,0,,,,,,
Gudmedalen,4,IV/X,1920,,1920,Gud4RTC,RTC,,RTC,RTC,6,2009,13-Aug,Presence,KK,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,1,,,1,,,,,,,,,,,,,,,0,5,0,0,10,0,0,,,,,,
Gudmedalen,4,IV/X,1920,,1920,Gud4RTC,RTC,,RTC,RTC,7,2009,13-Aug,Presence,KK,,,,,,,,1,,,,,,1,,1,,F,,,,,,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,1,,,1,,,,,,,,,,,,,,,0,0,0,0,20,0,0,,,,,,
Gudmedalen,4,IV/X,1920,,1920,Gud4RTC,RTC,,RTC,RTC,8,2009,13-Aug,Presence,KK,,,,,,,,1,,1,,,,1,,1,,F,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,0,0,0,0,20,0,0,,,,,,
Gudmedalen,4,IV/X,1920,,1920,Gud4RTC,RTC,,RTC,RTC,9,2009,13-Aug,Presence,KK,1,,,,,,,1,,1,,,,,,1,,1,,,,,,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,0,10,0,0,10,0,0,,,,,,
Gudmedalen,4,IV/X,1920,,1920,Gud4RTC,RTC,,RTC,RTC,10,2009,13-Aug,Presence,KK,1,,,,,,,1,,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,5,20,0,0,20,0,0,,,,,,
Gudmedalen,4,IV/X,1920,,1920,Gud4RTC,RTC,,RTC,RTC,11,2009,13-Aug,Presence,KK,1,,,,,,,1,,,,,,,,1,,1,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,1,,,1,,,,,,,,,,,,,,,0,0,0,0,20,0,0,,,,,,
Gudmedalen,4,IV/X,1920,,1920,Gud4RTC,RTC,,RTC,RTC,12,2009,13-Aug,Presence,KK,,,,,,,,F,1,1,,,,1,,1,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,0,0,0,0,10,0,0,,,,,,
Gudmedalen,4,IV/X,1920,,1920,Gud4RTC,RTC,,RTC,RTC,13,2009,13-Aug,Presence,KK,,,,,,,,1,,,,,,,,F,,1,,,,,,1,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,0,0,0,0,20,0,0,,,,,,
Gudmedalen,4,IV/X,1920,,1920,Gud4RTC,RTC,,RTC,RTC,14,2009,13-Aug,Presence,KK,,,1,,,,,,,1,,,,,,F,,1,,,,,,1,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,10,20,0,0,5,0,0,,,,,,
Gudmedalen,4,IV/X,1920,,1920,Gud4RTC,RTC,,RTC,RTC,15,2009,13-Aug,Presence,KK,,,,,,,,1,,1,,,,1,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,0,20,0,0,5,0,20,,,,,,
Gudmedalen,4,IV/X,1920,,1920,Gud4RTC,RTC,,RTC,RTC,16,2009,13-Aug,Presence,KK,,,,,,,,1,,1,,,,1,,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,0,0,0,0,20,0,0,,,,,,
Gudmedalen,4,IV/X,1920,,1920,Gud4RTC,RTC,,RTC,RTC,17,2009,13-Aug,Presence,KK,,,,,,,,1,,1,,,,1,,F,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,0,0,0,0,10,0,0,,,,,,
Gudmedalen,4,IV/X,1920,,1920,Gud4RTC,RTC,,RTC,RTC,18,2009,13-Aug,Presence,KK,,,1,,,,,1,,,,,,1,,1,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,0,0,0,0,20,0,0,,,,,,
Gudmedalen,4,IV/X,1920,,1920,Gud4RTC,RTC,,RTC,RTC,19,2009,13-Aug,Presence,KK,,,,,,,,1,,1,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,DF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,20,0,0,5,0,0,,,,,,
Gudmedalen,4,IV/X,1920,,1920,Gud4RTC,RTC,,RTC,RTC,20,2009,13-Aug,Presence,KK,,,,,,,,1,,1,,,,1,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,5,0,0,5,0,0,,,,,,
Gudmedalen,4,IV/X,1920,,1920,Gud4RTC,RTC,,RTC,RTC,21,2009,13-Aug,Presence,KK,,,,,,,,,,1,,,,1,,F,,1,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,0,0,0,0,20,0,0,,,,,,
Gudmedalen,4,IV/X,1920,,1920,Gud4RTC,RTC,,RTC,RTC,22,2009,13-Aug,Presence,KK,,,,,,,,1,1,1,,,,1,,1,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,0,0,0,0,20,0,0,,,,2,1,
Gudmedalen,4,IV/X,1920,,1920,Gud4RTC,RTC,,RTC,RTC,23,2009,13-Aug,Presence,KK,1,,,,,,,,,1,,,,,,1,,1,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,0,0,0,0,10,0,0,,,,2,0.5,
Gudmedalen,4,IV/X,1920,,1920,Gud4RTC,RTC,,RTC,RTC,24,2009,13-Aug,Presence,KK,1,,,,,,,,,1,,,,,,,,1,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,1,,,,F,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,1,,,,,,0,0,0,0,10,0,0,,,,5,0.5,
Gudmedalen,4,IV/X,1920,,1920,Gud4RTC,RTC,,RTC,RTC,25,2009,13-Aug,Presence,KK,,,,,,,,1,,1,,,,1,,1,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,1,,,,,,,,0,0,5,0,10,0,0,,,,3,0.5,
Gudmedalen,4,IV/X,1920,,1920,Gud4RTC,RTC,,RTC,RTC,%,2009,13-Aug,Cover,KK,5,,2,,,,,4,1,15,,,,5,,8,,6,,,,,,10,,,10,,3,,,2,2,,,,,,,,,,,,,,4,,,,12,,4,,,,,,,,1,,,,2,1,,,,,,,4,,3,,,5,,,,,,,2,,1,,,,1,,1.56,4.08,0.28,0,12.8,0,0.8,80,5,0,3,0.625,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gudmedalen,4,,166,TT3,241,166 TT3 241,,,,C,1,2009,13-Aug,Presence,KK,1,,1,,,,,,,,,,,1,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,F,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,0,0,0,0,10,0,0,,,,,,
Gudmedalen,4,,166,TT3,241,166 TT3 241,,,,C,2,2009,13-Aug,Presence,KK,1,,1,,,,,,1,1,,,,,,,,,,,,,,,,,1,,,,S,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,0,0,0,0,10,0,0,,,,,,
Gudmedalen,4,,166,TT3,241,166 TT3 241,,,,C,3,2009,13-Aug,Presence,KK,,,,,,,,,,1,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,F,,,,,,,,0,0,0,0,5,0,0,,,,,,
Gudmedalen,4,,166,TT3,241,166 TT3 241,,,,C,4,2009,13-Aug,Presence,KK,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,0,0,0,0,20,0,0,,,,,,
Gudmedalen,4,,166,TT3,241,166 TT3 241,,,,C,5,2009,13-Aug,Presence,KK,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,0,0,0,0,20,0,0,,,,,,
Gudmedalen,4,,166,TT3,241,166 TT3 241,,,,C,6,2009,13-Aug,Presence,KK,,,1,,,,,1,,1,,,,F,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,0,0,0,0,5,0,0,,,,,,# fjernet
Gudmedalen,4,,166,TT3,241,166 TT3 241,,,,C,7,2009,13-Aug,Presence,KK,1,,,,,,,1,1,1,,,,1,,,,,,,,,,,,,,,,,SF,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,F,,,,,,,,,,,,,,,,,1,,,,,,,F,,,,,,,,0,0,0,0,20,0,0,,,,,,
Gudmedalen,4,,166,TT3,241,166 TT3 241,,,,C,8,2009,13-Aug,Presence,KK,1,,,,,,,1,,1,,,,1,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,10,0,0,,,,,,
Gudmedalen,4,,166,TT3,241,166 TT3 241,,,,C,9,2009,13-Aug,Presence,KK,1,,,,,,,1,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,0,0,0,0,10,0,0,,,,,,
Gudmedalen,4,,166,TT3,241,166 TT3 241,,,,C,10,2009,13-Aug,Presence,KK,1,,,,,,,1,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,0,0,0,0,20,0,0,,,,,,
Gudmedalen,4,,166,TT3,241,166 TT3 241,,,,C,11,2009,13-Aug,Presence,KK,,,1,,,,,1,,1,,,,,,1,,,,,,,,,,,,,,,SF,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,1,,0,0,0,0,10,0,0,,,,,,
Gudmedalen,4,,166,TT3,241,166 TT3 241,,,,C,12,2009,13-Aug,Presence,KK,1,,,,,,,1,,1,,,,1,,,,,,,,,,1,,,,,,,SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,0,0,0,0,20,0,0,,,,,,
Gudmedalen,4,,166,TT3,241,166 TT3 241,,,,C,13,2009,13-Aug,Presence,KK,1,,1,,,,,1,,1,,,,1,,,,,,,,,,,,,,,,,SF,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,0,0,0,0,5,0,0,,,,,,
Gudmedalen,4,,166,TT3,241,166 TT3 241,,,,C,14,2009,13-Aug,Presence,KK,1,,,,,,,1,,1,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,F,,,,,,,,0,0,0,0,10,0,0,,,,,,
Gudmedalen,4,,166,TT3,241,166 TT3 241,,,,C,15,2009,13-Aug,Presence,KK,1,,1,,,,,1,,,,,,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,0,0,0,0,10,0,0,,,,,,
Gudmedalen,4,,166,TT3,241,166 TT3 241,,,,C,16,2009,13-Aug,Presence,KK,1,,,,,,,,,1,,,,1,,,,1,,,,,,,,,,,,,SF,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,0,0,0,0,10,0,0,,,,,,
