OriginSite,OriginBlock,Start Block (KORRIGERT),originPlotID,TTtreat,destinationPlotID,turfID,RTtreat ,GRtreat,Old treat (label),subPlot,year,date,Measure,recorder,Ach mil,Agr cap,Alc alp,Alc sp,Ant dio,Ant odo,Ave fle,Bet nan,Bet pub,Bis viv,Cal vul,Cam rot,Car  nor,Car big,Car cap,Car fla,Car nigra,Car pal,Car pil,Carex sp,Cer alp,Cer cer,Cer fon,Cirs pal ,Des ces,Emp her,Epi ana,Euph sp,Fes ovi,Fes rub,Fes viv,Gal uli ,Gym dry,Hie pil,Leo aut,Luz mul,Luz spi,"Mots II (Epi, Ste med, Ver alp)",Nar stri,Oma sup,Oxa ace,Par pal,Phle alp,Pin vul,Poa alp,Poa pra,Pot cra,Pot ere,Pru vul ,Ran acr,Ran rep,Rum ace,Rum ac-la,Sag pro,Sag sag,Sag sp,Sal her,Sel sel,Sib,Sil aca,Sol vir,Tarax,Tha alp,Tof pus,Tri rep,Vac myr,Vac vit,Ver alp,Ver fru,Ver off,Ver serp,Vio bif,Vio pal,Vio riv,Vio sp,Nid gram,Nid seedling,pleuro,acro,liver,lichen,litter,soil,rock,totalVascular,totalBryophytes,totalLichen,vegetationHeight,mossHeight,comment
Rambera,4,,191,TT2,227,191 TT2 227,,,C,11,2009,17-Aug,Presence,KK,1,1,,,,1,1,,,1,,,,,,,,,,,,,,,,,,S,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,1,,,,,1,10,5,0,0,5,0,0,,,,,,
Rambera,4,,191,TT2,227,191 TT2 227,,,C,12,2009,17-Aug,Presence,KK,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,,,1,,,,1,,,1,,,,,20,5,0,10,5,0,0,,,,,,
Rambera,4,,191,TT2,227,191 TT2 227,,,C,13,2009,17-Aug,Presence,KK,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,10,2,0,30,5,0,0,,,,,,
Rambera,4,,191,TT2,227,191 TT2 227,,,C,14,2009,17-Aug,Presence,KK,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,30,0,0,0,5,0,0,,,,,,
Rambera,4,,191,TT2,227,191 TT2 227,,,C,15,2009,17-Aug,Presence,KK,1,1,,,,1,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,0,0,0,10,0,0,,,,,,Pot ere 1*
Rambera,4,,191,TT2,227,191 TT2 227,,,C,16,2009,17-Aug,Presence,KK,1,1,,,,1,,,,1,,,,,,,,,1,,,,,,,,,S,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,30,5,0,0,5,0,0,,,,,,
Rambera,4,,191,TT2,227,191 TT2 227,,,C,17,2009,17-Aug,Presence,KK,,1,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,10,5,0,10,5,0,0,,,,,,
Rambera,4,,191,TT2,227,191 TT2 227,,,C,18,2009,17-Aug,Presence,KK,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,1,,,1,,,,,10,2,0,5,2,0,0,,,,,,
Rambera,4,,191,TT2,227,191 TT2 227,,,C,19,2009,17-Aug,Presence,KK,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,10,0,0,20,5,0,0,,,,,,
Rambera,4,,191,TT2,227,191 TT2 227,,,C,20,2009,17-Aug,Presence,KK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,40,0,0,0,5,0,0,,,,,,
Rambera,4,,191,TT2,227,191 TT2 227,,,C,21,2009,17-Aug,Presence,KK,1,,,,,1,,,,1,,,,,,,,,1,,,,,,,,,S,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,20,5,0,0,10,0,0,,,,,,
Rambera,4,,191,TT2,227,191 TT2 227,,,C,22,2009,17-Aug,Presence,KK,1,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,5,5,0,0,10,0,0,,,,6,,
Rambera,4,,191,TT2,227,191 TT2 227,,,C,23,2009,17-Aug,Presence,KK,1,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,5,5,20,0,2,0,0,,,,5,,
Rambera,4,,191,TT2,227,191 TT2 227,,,C,24,2009,17-Aug,Presence,KK,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,10,0,0,0,10,0,0,,,,8,,
Rambera,4,,191,TT2,227,191 TT2 227,,,C,25,2009,17-Aug,Presence,KK,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,10,2,0,0,5,0,0,,,,7,,
Rambera,4,,191,TT2,227,191 TT2 227,,,C,%,2009,17-Aug,Cover,KK,5,3,4,,,4,1,,,6,,,,,,,,,3,,,,,,7,,,2,,,,,2,,4,2,,,5,,1,,,,,,,5,,,,2,,,,,,,,,,,,,,7,1,,,8,,1,4,,,,1,14.76,2.44,0.8,3,6.24,0,0,40,15,0,6.5,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rambera,4,,192,TT4,299,192 TT4 299,,,1,1,2009,17-Aug,Presence,KK,,1,F,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,10,5,0,2,20,0,0,,,,,,
Rambera,4,,192,TT4,299,192 TT4 299,,,1,2,2009,17-Aug,Presence,KK,1,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,5,0,5,0,10,0,0,,,,,,
Rambera,4,,192,TT4,299,192 TT4 299,,,1,3,2009,17-Aug,Presence,KK,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,5,0,10,0,0,,,,,,
Rambera,4,,192,TT4,299,192 TT4 299,,,1,4,2009,17-Aug,Presence,KK,,,,,,1,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,5,5,5,0,20,0,0,,,,,,
Rambera,4,,192,TT4,299,192 TT4 299,,,1,5,2009,17-Aug,Presence,KK,,,,,,,1,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,5,5,0,0,20,0,0,,,,,,
Rambera,4,,192,TT4,299,192 TT4 299,,,1,6,2009,17-Aug,Presence,KK,1,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,20,2,0,0,20,0,0,,,,,,
Rambera,4,,192,TT4,299,192 TT4 299,,,1,7,2009,17-Aug,Presence,KK,1,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,1,10,0,0,0,30,0,0,,,,,,
Rambera,4,,192,TT4,299,192 TT4 299,,,1,8,2009,17-Aug,Presence,KK,1,1,,,,F,1,,,,,,,,,,,,,,,S,,,,,,SF,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,0,0,10,0,0,,,,,,
Rambera,4,,192,TT4,299,192 TT4 299,,,1,9,2009,17-Aug,Presence,KK,F,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,5,2,0,0,10,0,0,,,,,,
Rambera,4,,192,TT4,299,192 TT4 299,,,1,10,2009,17-Aug,Presence,KK,1,1,,,,1,1,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,5,0,0,0,10,0,0,,,,,,
Rambera,4,,192,TT4,299,192 TT4 299,,,1,11,2009,17-Aug,Presence,KK,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,10,0,0,0,20,0,0,,,,,,
Rambera,4,,192,TT4,299,192 TT4 299,,,1,12,2009,17-Aug,Presence,KK,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,F,,,,,,,,,,,,,,,1,,,,,,,,30,0,0,0,20,0,0,,,,,,
Rambera,4,,192,TT4,299,192 TT4 299,,,1,13,2009,17-Aug,Presence,KK,,1,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,20,5,0,0,10,0,0,,,,,,
Rambera,4,,192,TT4,299,192 TT4 299,,,1,14,2009,17-Aug,Presence,KK,,1,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,10,0,0,0,10,0,0,,,,,,
Rambera,4,,192,TT4,299,192 TT4 299,,,1,15,2009,17-Aug,Presence,KK,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,10,0,0,0,10,0,0,,,,,,
Rambera,4,,192,TT4,299,192 TT4 299,,,1,16,2009,17-Aug,Presence,KK,,F,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,15,0,0,0,20,0,0,,,,,,
Rambera,4,,192,TT4,299,192 TT4 299,,,1,17,2009,17-Aug,Presence,KK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,1,,,,,,,,10,0,0,0,10,0,0,,,,,,
Rambera,4,,192,TT4,299,192 TT4 299,,,1,18,2009,17-Aug,Presence,KK,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,1,,,,,10,0,0,0,10,0,0,,,,,,
Rambera,4,,192,TT4,299,192 TT4 299,,,1,19,2009,17-Aug,Presence,KK,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,1,,,,,10,0,0,0,20,0,0,,,,,,
Rambera,4,,192,TT4,299,192 TT4 299,,,1,20,2009,17-Aug,Presence,KK,,,,,,F,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,F,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,20,2,0,0,10,0,0,,,,,,
Rambera,4,,192,TT4,299,192 TT4 299,,,1,21,2009,17-Aug,Presence,KK,,1,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,20,0,0,0,20,0,0,,,,,,
Rambera,4,,192,TT4,299,192 TT4 299,,,1,22,2009,17-Aug,Presence,KK,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,20,10,0,0,5,0,0,,,,14,,
Rambera,4,,192,TT4,299,192 TT4 299,,,1,23,2009,17-Aug,Presence,KK,,,,,,F,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,1,,,,,,5,0,0,0,10,0,0,,,,13,,
Rambera,4,,192,TT4,299,192 TT4 299,,,1,24,2009,17-Aug,Presence,KK,,1,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,1,1,,,,,5,0,0,0,20,0,0,,,,15,,
Rambera,4,,192,TT4,299,192 TT4 299,,,1,25,2009,17-Aug,Presence,KK,,,,,,F,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,1,,,,,,,F,,,,,,,,,,,,,,,1,,1,,,,,,5,0,0,0,10,0,0,,,,15,,
Rambera,4,,192,TT4,299,192 TT4 299,,,1,%,2009,17-Aug,Cover,KK,4,3,4,,,7,2,,,2,,2,,,,,,,,,,1,,,4,,,3,,,,,,,2,2,,,4,,2,,,,,,,5,,,,5,,,3,,,,,,,,,,,3,,,,10,,2,4,,,,1,11.2,1.52,0.6,0.08,14.6,0,0,70,15,0,14.25,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rambera,4,,193,TT1,191,193 TT1 191,,,2,1,2009,17-Aug,Presence,KK,,,,,,F,,,,1,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,30,0,0,0,10,0,0,,,,,,
Rambera,4,,193,TT1,191,193 TT1 191,,,2,2,2009,17-Aug,Presence,KK,,F,,,,,,,,1,,,,,,,,,,,,,,,,,,SF,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,60,0,0,0,5,0,0,,,,,,
Rambera,4,,193,TT1,191,193 TT1 191,,,2,3,2009,17-Aug,Presence,KK,,1,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,40,2,1,0,2,0,0,,,,,,
Rambera,4,,193,TT1,191,193 TT1 191,,,2,4,2009,17-Aug,Presence,KK,1,,,,,1,,,,1,,,,,,,,,,,,1,,,,,1,SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2,0,0,5,0,0,,,,,,
Rambera,4,,193,TT1,191,193 TT1 191,,,2,5,2009,17-Aug,Presence,KK,,1,,,,1,,,,1,,,,,,,,,,,,1,,,,,1,SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,10,5,0,0,5,0,0,,,,,,
Rambera,4,,193,TT1,191,193 TT1 191,,,2,6,2009,17-Aug,Presence,KK,1,F,,,,1,,,,F,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,40,5,0,5,5,0,0,,,,,,
Rambera,4,,193,TT1,191,193 TT1 191,,,2,7,2009,17-Aug,Presence,KK,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,80,2,0,0,2,0,0,,,,,,
Rambera,4,,193,TT1,191,193 TT1 191,,,2,8,2009,17-Aug,Presence,KK,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,2,0,0,5,0,0,,,,,,
Rambera,4,,193,TT1,191,193 TT1 191,,,2,9,2009,17-Aug,Presence,KK,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,0,0,10,0,0,,,,,,
Rambera,4,,193,TT1,191,193 TT1 191,,,2,10,2009,17-Aug,Presence,KK,,1,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,1,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,1,,,,,,10,2,0,0,10,0,0,,,,,,
Rambera,4,,193,TT1,191,193 TT1 191,,,2,11,2009,17-Aug,Presence,KK,,1,,,,F,,,,1,,,,,,,,,,,,,,,,,,SF,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,,,,,40,5,0,0,2,0,0,,,,,,
Rambera,4,,193,TT1,191,193 TT1 191,,,2,12,2009,17-Aug,Presence,KK,,,,,,,,,,1,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,80,2,0,0,2,0,0,,,,,,
Rambera,4,,193,TT1,191,193 TT1 191,,,2,13,2009,17-Aug,Presence,KK,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,20,2,0,0,10,0,0,,,,,,
Rambera,4,,193,TT1,191,193 TT1 191,,,2,14,2009,17-Aug,Presence,KK,,1,,,,1,,,,1,,1,,,,,,,,,,,,,,,1,S,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,5,2,0,0,20,0,0,,,,,,
Rambera,4,,193,TT1,191,193 TT1 191,,,2,15,2009,17-Aug,Presence,KK,,F,,,,1,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,0,0,20,0,0,,,,,,
Rambera,4,,193,TT1,191,193 TT1 191,,,2,16,2009,17-Aug,Presence,KK,,1,,,,F,,,,1,,1,,,,,,,,,,,,,,,1,SF,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,10,5,0,0,10,0,0,,,,,,
Rambera,4,,193,TT1,191,193 TT1 191,,,2,17,2009,17-Aug,Presence,KK,,1,,,,F,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,10,10,0,0,5,0,0,,,,,,
Rambera,4,,193,TT1,191,193 TT1 191,,,2,18,2009,17-Aug,Presence,KK,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,30,10,0,0,2,0,0,,,,,,
Rambera,4,,193,TT1,191,193 TT1 191,,,2,19,2009,17-Aug,Presence,KK,,,,,,1,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,1,,,,1,,1,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,1,,,1,,,,1,5,0,0,0,10,0,0,,,,,,
Rambera,4,,193,TT1,191,193 TT1 191,,,2,20,2009,17-Aug,Presence,KK,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,2,0,0,0,5,0,0,,,,,,
Rambera,4,,193,TT1,191,193 TT1 191,,,2,21,2009,17-Aug,Presence,KK,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,SF,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,30,0,0,0,5,0,0,,,,,,
Rambera,4,,193,TT1,191,193 TT1 191,,,2,22,2009,17-Aug,Presence,KK,,,,,,F,,,,1,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,10,2,0,0,5,0,0,,,,8,2,
Rambera,4,,193,TT1,191,193 TT1 191,,,2,23,2009,17-Aug,Presence,KK,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,1,1,,,,,30,2,0,0,2,0,0,,,,7,3,
Rambera,4,,193,TT1,191,193 TT1 191,,,2,24,2009,17-Aug,Presence,KK,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,40,2,0,0,2,0,0,,,,6,2,
Rambera,4,,193,TT1,191,193 TT1 191,,,2,25,2009,17-Aug,Presence,KK,,,,,,1,,,,1,,1,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,10,0,0,0,20,0,0,,,,5,3,
Rambera,4,,193,TT1,191,193 TT1 191,,,2,%,2009,17-Aug,Cover,KK,2,4,,,,6,,,,5,,1,,,,,,,,,,2,,,1,,4,2,,,,,,,2,2,,,7,,1,,,,,,,,,,,4,,,,,,2,,,,,,,,,2,,,4,,5,8,,,,1,25.16,2.56,0.04,0.2,7.16,0,0,40,30,0.5,6.5,2.5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rambera,4,,194,TTC,194,194 TTC,,,3,1,2009,17-Aug,Presence,KK,,1,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,F,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,0,0,30,0,0,,,,,,
Rambera,4,,194,TTC,194,194 TTC,,,3,2,2009,17-Aug,Presence,KK,,1,,,,1,,,,1,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,0,0,30,0,0,,,,,,
Rambera,4,,194,TTC,194,194 TTC,,,3,3,2009,17-Aug,Presence,KK,,,,,,1,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,2,0,0,20,0,0,,,,,,
Rambera,4,,194,TTC,194,194 TTC,,,3,4,2009,17-Aug,Presence,KK,1,1,,,,1,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,10,5,0,0,25,0,0,,,,,,
