DestinationSite,DestinationBlock,originPlotID,TTtreat,destinationPlotID,turfID,RTtreat ,GRtreat,subPlot,year,date,Measure,recorder,Ach mil,Aco sep,Agr cap,Agr mer,Aju pyr,Alc alp,Alc sp,Ane nem,Ant alp ,Ant dio,Ant odo,Arc alp,Ast alp,Atoc rup,Ave fle,Ave pra,Ave  pub,Bart alp,Bet nan,Bet pub,Bis viv,Bot lun ,Cal vul,Cam rot,Caps b-p,Car atr,Car big,Car cap,Car ech,Car fla,Car lep,Car nig,Car nor,Car pal,Car pan,Car pau,Car pil,Car pul,Car sax,Car vag,Car sp,Car car,Cer alp,Cer cer,Cer fon,Cer gla,Cham alp,Cir pal,Dac glo,Dant dec,Des alp,Des ces,Dia del,Dia glo,Dry oct,Emp her,Emp nig,Emp,Epi ana,Epilob sp ,Equi arv,Erigeron,Eri uni,Euph fri,Euph str,Euph sp,Fes ovi,Fes rub,Fes viv,Filip ulm,Frag ves,Gal bor,Gal sax,Gal uli ,Gal sp,Gal ver,Gen ama,Gen niv,Gen ten,Ger syl,Geu riv,Gram sp,Gym dry,Hie pil,Hie vulg,Hier sp,Hie umb,Hyp mac,Hypo mac,Hypo rad,Jun alp,Jun fili,Jun com,Jun tri,Kna arv,Kob sim,Leo aut,Leu vul,Linar vulg,Lot cor,Luz mul,Luz pil,Luz sp,Luz spi,Lych vis,Mel pra,Mel syl,Mel sp,Min biff,Mots blad,Nar stri,Noc cae,Oma nor,Oma sup,Oma syl,Oxa ace,Oxy dig,Par pal,Phle alp,Phle prat,Phyll caer,Pic abi,Pim sax,Pin vul,Pin alp,Pla lan,Pla maj,Pla med,Poa alp,Poa ann,Poa pra,Poaceae sp,Pot arg ,Pot cra,Pot ere,Pru vul,Pyr min,Pyr nor,Pyr rot,Pyrola sp,Ran acr,Ran aur,Ran rep,Rhin min,Rho ros,Rub idae,Rubus,Rum ace,Rum ac-la,Sag pro,Sag sag,Sag sp,Sal her,Sal lan,Sal phyl,Sal ret,Salix sp,Saus alp,Sax aiz ,Sax opp,Sax pim,Scir cue,Sed acr,Sel sel,Sib pro,Sil aca,Sil prat,Sil vul,Sol vir,Sorbus,Ste gra,Ste med,Suc pra,Tarax,Tha alp,Thlaspi  arv,Tof pus,Trien eur,Tri ces,Tri med,Tri mon,Tri pra,Tri rep,Vac myr,Vac uli,Vac vit,Valeriana,Ver alp,Ver cha,Ver fru,Ver off,Ver ser,Ver sp,Vic cra,Vic sep,Vio bif,Vio pal,Vio riv,Vio tri,Vio sp,Vis vul,Nid herb,Nid seedling,pleuro,acro,liver,lichen,litter,soil,rock,totalVascular,totalBryophytes,totalLichen,vegetationHeight,mossHeight,missing,comment,,,,,,,,
Rambera,2,2070,,2070,Ram2RTG,RTG,,11,2012,02-Aug,Presence,KK,,,F,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,20,0,0,2,0,10,,,,,,,,,,,,,,,
Rambera,2,2070,,2070,Ram2RTG,RTG,,12,2012,02-Aug,Presence,KK,,,,,,,,,,,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,10,0,0,10,0,0,,,,,,,,,,,,,,,
Rambera,2,2070,,2070,Ram2RTG,RTG,,13,2012,02-Aug,Presence,KK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,0,0,0,20,10,20,,,,,,,,,,,,,,,
Rambera,2,2070,,2070,Ram2RTG,RTG,,14,2012,02-Aug,Presence,KK,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,5,0,0,10,0,0,,,,,,,,,,,,,,,
Rambera,2,2070,,2070,Ram2RTG,RTG,,15,2012,02-Aug,Presence,KK,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,20,10,10,0,10,0,0,,,,,,,,,,,,,,,
Rambera,2,2070,,2070,Ram2RTG,RTG,,16,2012,02-Aug,Presence,KK,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,20,30,0,0,10,0,0,,,,,,,,,,,,,,,
Rambera,2,2070,,2070,Ram2RTG,RTG,,17,2012,02-Aug,Presence,KK,,,1,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,65,25,0,0,10,0,0,,,,,,,,,,,,,,,
Rambera,2,2070,,2070,Ram2RTG,RTG,,18,2012,02-Aug,Presence,KK,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,30,0,0,10,0,5,,,,,,,,,,,,,,,
Rambera,2,2070,,2070,Ram2RTG,RTG,,19,2012,02-Aug,Presence,KK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,15,0,0,5,0,0,,,,,,,,,,,,,,,
Rambera,2,2070,,2070,Ram2RTG,RTG,,20,2012,02-Aug,Presence,KK,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,60,20,5,0,5,0,0,,,,,,,,,,,,,,,
Rambera,2,2070,,2070,Ram2RTG,RTG,,21,2012,02-Aug,Presence,KK,,,1,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,10,40,0,0,10,0,0,,,,,,,,,,,,,,,
Rambera,2,2070,,2070,Ram2RTG,RTG,,22,2012,02-Aug,Presence,KK,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,10,45,0,0,10,0,0,,,,,,,,,,,,,,,
Rambera,2,2070,,2070,Ram2RTG,RTG,,23,2012,02-Aug,Presence,KK,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,5,60,0,0,20,0,0,,,,,,,,,,,,,,,
Rambera,2,2070,,2070,Ram2RTG,RTG,,24,2012,02-Aug,Presence,KK,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,45,45,0,0,10,0,0,,,,,,,,,,,,,,,
Rambera,2,2070,,2070,Ram2RTG,RTG,,25,2012,02-Aug,Presence,KK,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,20,5,0,0,25,0,0,,,,,,,,,,,,,,,
Rambera,2,2070,,2070,Ram2RTG,RTG,,%,2012,02-Aug,Cover,KK,2,,3,,,,,,,2,3,,,,,,,,,5,4,,,1,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,1,,,,,,,,,,1,,6,,,,,,,,,,,,,,,,,,,,,,2,,,,,,5,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,6,,,,,,,42.8,15.4,0.6,0,10.12,0.4,2,35,75,0,3,2,,Cer gla eller Cer cer?,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rambera,3,2071,,2071,Ram3RTG,RTG,,1,2012,02-Aug,Presence,W,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,95,0,0,0,0,0,0,,,,,,,,,,,,,,,
Rambera,3,2071,,2071,Ram3RTG,RTG,,2,2012,02-Aug,Presence,W,1,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,0,40,0,5,0,0,,,,,,,,,,,,,,,
Rambera,3,2071,,2071,Ram3RTG,RTG,,3,2012,02-Aug,Presence,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,0,30,0,10,0,0,,,,,,,,,,,,,,,
Rambera,3,2071,,2071,Ram3RTG,RTG,,4,2012,02-Aug,Presence,W,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,5,40,0,5,0,0,,,,,,,,,,,,,,,
Rambera,3,2071,,2071,Ram3RTG,RTG,,5,2012,02-Aug,Presence,W,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,50,10,0,0,40,0,0,,,,,,,,,,,,,,,
Rambera,3,2071,,2071,Ram3RTG,RTG,,6,2012,02-Aug,Presence,W,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,70,0,20,0,10,0,0,,,,,,,,,,,,,,,
Rambera,3,2071,,2071,Ram3RTG,RTG,,7,2012,02-Aug,Presence,W,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SFD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,80,0,10,0,10,0,0,,,,,,,,,,,,,,,
Rambera,3,2071,,2071,Ram3RTG,RTG,,8,2012,02-Aug,Presence,W,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,20,10,0,10,0,0,,,,,,,,,,,,,,,
Rambera,3,2071,,2071,Ram3RTG,RTG,,9,2012,02-Aug,Presence,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,20,20,1,10,0,0,,,,,,,,,,,,,,,
Rambera,3,2071,,2071,Ram3RTG,RTG,,10,2012,02-Aug,Presence,W,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,20,20,10,0,40,0,0,,,,,,,,,,,,,,,
Rambera,3,2071,,2071,Ram3RTG,RTG,,11,2012,02-Aug,Presence,W,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,,,,,,,SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,40,20,0,0,30,0,0,,,,,,,,,,,,,,,
Rambera,3,2071,,2071,Ram3RTG,RTG,,12,2012,02-Aug,Presence,W,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,50,5,0,0,30,0,0,,,,,,,,,,,,,,,
